news_channel,url
Reason,http://reason.com/
Brisbane Times,http://brisbanetimes.com.au
Santa Barbara Independent,http://independent.com
BMJ Open,http://bmjopen.bmj.com/
Electric Literature,http://electricliterature.com
BBC News at One,https://www.bbc.co.uk/programmes/b007mpl9
Los Angeles Times,http://latimes.com
Slate,http://slate.com/
South China Morning Post,http://scmp.com
Bored Panda,http://boredpanda.com
Patch,http://patch.com
"KOVR-TV (Sacramento, CA)",https://www.cbsnews.com/sacramento/
"WBZ-TV (Boston, MA)",https://www.cbsnews.com/boston/
U.S. News & World Report,http://usnews.com
"KNBC-TV (Los Angeles, CA)",http://nbclosangeles.com/
"KNTV-TV (San Jose, CA)",http://nbcbayarea.com/
Journal Sun,https://wickedlocal.com/journalsun/
"KNSD-TV (San Diego, CA)",http://nbcsandiego.com/
Brasil Online,https://bol.uol.com.br
El País,http://elpais.com
MSN UK,http://msn.com/en-gb
Perry County Times,http://pennlive.com/perry-county-times/
Tampa Bay Times,http://tampabay.com/
The Sacramento Bee,http://sacbee.com
The Observer (Case Western Reserve),http://observer.case.edu
The Penny Hoarder,http://thepennyhoarder.com
Ms. Magazine,http://msmagazine.com
"Watertown Daily Times (Watertown, NY)",https://nny360.com/
University of Washington Daily,http://dailyuw.com
Conway Daily Sun,http://conwaydailysun.com
The Sunday Times,https://thetimes.co.uk/?sunday
SBS,http://sbs.com.au
New Statesman,http://newstatesman.com/
The Banbridge Leader,http://banbridgeleader.co.uk
The World from PRX,https://theworld.org/
The South Asian Journal of Management Sciences,http://sajms.iurc.edu.pk/
Daily Times,http://dailytimes.com.pk
Financial Advisor,http://fa-mag.com
Anchorage Daily News,http://adn.com
The National Law Review,http://natlawreview.com
Fairbanks Daily News-Miner,http://newsminer.com
The Journal of Biological Chemistry,http://jbc.org
Mat-Su Valley Frontiersman,http://frontiersman.com
Event Industry News,http://eventindustrynews.com
The Bristol Bay Times,http://thebristolbaytimes.com/
InvenGlobal,http://invenglobal.com
Awake At Night,https://www.un.org/en/awake-at-night
Hull Daily Mail,http://hulldailymail.co.uk/
Elephant Journal,http://elephantjournal.com
Berkshire Live,http://getreading.co.uk
Leeds Live,http://leeds-live.co.uk
Advance for Nurses,http://nursing.advanceweb.com
DNA India,http://dnaindia.com
Polygon,http://polygon.com/
Business 2 Community,http://business2community.com
Business Daily,https://bbc.co.uk/programmes/p002vsxs
Holistic Women's Health,https://podcasts.apple.com/us/podcast/holistic-womens-health/id1537830674
Marketplace,http://marketplace.org/
The London Economic,http://thelondoneconomic.com
TNT Magazine (UK),http://tntmagazine.com
Burton Mail,http://burtonmail.co.uk/
The Spectator,http://spectator.co.uk/
Grazia Magazine (UK),https://graziadaily.co.uk/
Domino,http://domino.com
Global News Podcast,https://bbc.co.uk/programmes/p02nq0gn
RealClear History,http://realclearhistory.com
The Washington Post,http://washingtonpost.com/
Boston.com,http://boston.com
Houston Chronicle,http://chron.com/
Seattle Times,http://seattletimes.com/
LinkedIn,http://linkedin.com/
The Sun,http://thesun.co.uk/
Yahoo Esportes,https://esportes.yahoo.com/
RealClear Science,http://realclearscience.com
BBC Radio 5 Live,https://bbc.co.uk/5live
"KESQ-TV (Thousand Palms, CA)",http://kesq.com
Muse by Clio,http://musebycl.io
Earth Matters,https://3cr.org.au/earthmatters
Bloomberg CityLab,https://bloomberg.com/citylab
MSN Canada,http://msn.com/en-ca
British Journal of Sports Medicine,http://bjsm.bmj.com/
JournalnewsOnline,http://journalnews.com.ph
The Herald (Scotland),http://heraldscotland.com/
The Press and Journal,http://pressandjournal.co.uk
Stylist Magazine,http://stylist.co.uk
BBC News,https://www.bbc.com/news
MLive,http://mlive.com/
The Daily Progress,http://dailyprogress.com/
Bozeman Daily Chronicle,http://bozemandailychronicle.com
The New Stack,http://thenewstack.io
Charlottesville Tomorrow,http://cvilletomorrow.org
Yahoo en Español,https://espanol.yahoo.com
BusinessGhana,http://businessghana.com
Reuters,http://reuters.com/
Coventry Live,http://coventrytelegraph.net/
Taipei Times,http://taipeitimes.com
BYU-I Scroll,http://byuiscroll.org
ACED Magazine,http://acedmagazine.com
Free Movement,http://freemovement.org.uk
The Quint,http://thequint.com
Pediatrics,http://pediatrics.aappublications.org
BQ Prime,https://www.bqprime.com/
Orthopedics Today,https://www.healio.com/news/orthopedics
Future Medicine,http://futuremedicine.com
BBC World,https://www.bbc.com/news/world
Aol,http://aol.com
Kitsap Sun,http://kitsapsun.com
Newsroom New Zealand,http://newsroom.co.nz
The Union,http://theunion.com
theHRDIRECTOR,https://thehrdirector.com/
Insightful Accountant,http://intuitiveaccountant.com
Nisqually Valley News,http://yelmonline.com/
NPR,http://npr.org/
Kansas City Star,http://kansascity.com/
"WLRN-FM (Miami, FL)",http://wlrn.org/
"KPBS-TV (San Diego, CA)",http://kpbs.org/
"KRCC-FM (Colorado Springs, CO)",https://www.cpr.org/krcc/
"KUOW-FM (Seattle, WA)",http://kuow.org/
Yahoo Australia,https://au.yahoo.com/
Southern Seminary Magazine,http://sbts.edu
Stuff.co.nz,http://stuff.co.nz
Pharmaceutical Online,http://pharmaceuticalonline.com
Cultured Food Life,https://www.culturedfoodlife.com
All Sides with Ann Fisher,https://news.wosu.org
DemandLab,http://demandlab.com
Foreign Policy Magazine,http://foreignpolicy.com/
Toronto Sun,http://torontosun.com/
Tor.com,http://tor.com
BBC Radio 1,https://bbc.co.uk/radio1
BBC Radio 1Xtra,https://bbc.co.uk/1xtra
Dhaka Tribune,http://dhakatribune.com
"WPTV-TV (West Palm Beach, FL)",http://wptv.com/
East Asia Forum,http://eastasiaforum.org
Shooting UK,http://shootinguk.co.uk/
LabourList,http://labourlist.org
New Age (Bangladesh),http://newagebd.net
TabbFORUM,http://tabbforum.com
Renewal,http://renewal.org.uk/
Northants Live,http://northantslive.news
CNN,http://cnn.com
Elemental,https://elemental.medium.com/
GEN Magazine,https://gen.medium.com
OneZero,https://onezero.medium.com/
Business Report,https://iol.co.za/business-report
Belfast Telegraph,http://belfasttelegraph.co.uk/
Vail Daily,http://vaildaily.com
FE News,https://fenews.co.uk/
Ghana Waves,http://ghanawaves.com
Salon,http://salon.com
Mongabay,http://mongabay.com
AlterNet,http://alternet.org
Scroll.in,http://scroll.in
Eco-Business,http://eco-business.com
Gal-Dem,http://gal-dem.com
Sounds and Colours,http://soundsandcolours.com
BBC Radio Ulster,https://www.bbc.co.uk/sounds/play/live:bbc_radio_ulster
Irish Times,http://irishtimes.com/
Belfast Live,http://belfastlive.co.uk/
The National (Scotland),http://thenational.scot
Belfast News Letter,http://newsletter.co.uk
The Ghanaian Chronicle,http://thechronicle.com.gh
Business Telegraph (UK),http://businesstelegraph.co.uk
El Tiempo,http://eltiempo.com
MarketWatch,http://marketwatch.com
Common Dreams,http://commondreams.org
Metropolis Magazine,http://metropolismag.com/
MoneyWeek,http://moneyweek.com
Falls Church News-Press,http://fcnp.com
MSN Australia,https://msn.com/en-au
BusinessDay Nigeria,https://businessday.ng/
National Accord Newspaper,http://nationalaccordnewspaper.com
Desert Herald Newspaper,http://desertherald.com
The ASEAN Post,http://theaseanpost.com
Global Security,https://theworld.org/
RealClear Politics,http://realclearpolitics.com
The Telegraph (India),http://telegraphindia.com
Miami Herald,http://miamiherald.com/
CNN International,http://edition.cnn.com/
The Guardian Australia,https://theguardian.com/au
Fox News,http://foxnews.com/
MSN South Africa,https://msn.com/en-za/
Liverpool Echo,http://liverpoolecho.co.uk
Yahoo Style Singapore,https://sg.style.yahoo.com/
BuzzFeed,http://buzzfeed.com/
INSIDER,http://insider.com
Business Insider Australia,http://businessinsider.com.au
Mondaq,http://mondaq.com/
Wiley,https://www.wiley.com/en-rs
Irish Independent,http://independent.ie
Martech Series,http://martechseries.com
Campaign (US),http://campaignlive.com
"WCTV-TV (Tallahassee, FL)",http://wctv.tv
"WJHG-TV (Panama City Beach, FL)",http://wjhg.com
Wyoming News Now,http://wyomingnewsnow.tv
Strategy Online,http://strategyonline.ca/
Fox Business,http://foxbusiness.com
Elombah News,http://elombah.com
The Patriot News,http://pennlive.com
JD Supra,http://jdsupra.com
AZ Big Media,http://azbigmedia.com
Keene Sentinel,http://sentinelsource.com
Estate Agent Today,http://estateagenttoday.co.uk
Sales Hacker,http://saleshacker.com
Cumberland County News,http://cumberlandcountynewspaper.com/
BBC Radio Cornwall,https://www.bbc.co.uk/sounds/play/live:bbc_radio_cornwall
BBC Radio Devon,https://www.bbc.co.uk/sounds/play/live:bbc_radio_devon
BBC South Africa,http://bbcsouthafrica.com
The Guardian (Nigeria),http://guardian.ng
Daily Monitor,http://monitor.co.ug/
Yahoo España,https://es.noticias.yahoo.com/
BlogHer,http://blogher.com
NexusNewsfeed.com,http://nexusnewsfeed.com
Radio Ambulante,http://radioambulante.org/
O Globo,http://oglobo.globo.com
Wichita Business Journal,http://bizjournals.com/wichita/
The Startup,https://medium.com/swlh
Denver Business Journal,http://bizjournals.com/denver/
Kansas City Business Journal,http://bizjournals.com/kansascity/
The Business Journals,http://bizjournals.com/
Elsevier,http://elsevier.com
The Drum,http://thedrum.com/
Campaign (UK),http://campaignlive.co.uk/
Health Affairs,http://healthaffairs.org
Law360,http://law360.com
Good Therapy,http://goodtherapy.org
SFGate,http://sfgate.com
Washington Times,http://washingtontimes.com/
Channel 4 News,http://channel4.com/news/
Bizcommunity,http://bizcommunity.com
GreenBiz,http://greenbiz.com
The Africa Report,http://theafricareport.com
CNBC Africa,http://cnbcafrica.com
New African (UK),http://newafricanmagazine.com
African Business,https://african.business/
ABC News,http://abcnews.go.com
Search Engine Journal,http://searchenginejournal.com
Yale Environment 360,http://e360.yale.edu
Times of Israel,http://timesofisrael.com/
Search Engine Watch,http://searchenginewatch.com
Sight & Sound,http://bfi.org.uk/news-opinion/sight-sound-magazine
CNN en Español,http://cnnespanol.cnn.com/
CNN Travel,https://cnn.com/travel
VICE,http://vice.com/
VICE Australia,https://www.vice.com/en/topic/vice-australia
VICE en Español,https://www.vice.com/es
Vice Nederlands,https://www.vice.com/nl
VICE UK,https://vice.com/en_uk
The Scotsman,http://scotsman.com/
Wales on Sunday,http://www.walesonline.co.uk/
Western Mail,http://walesonline.co.uk/
The Denver Post,http://denverpost.com/
BBC Wales Today,https://www.bbc.com/news/wales
Coastal News Today,http://coastalnewstoday.com
Sunday Mirror,http://mirror.co.uk/
Scotland on Sunday,http://scotsman.com/
Essence,http://essence.com
CNBC,http://cnbc.com/
Yahoo Finance UK,https://uk.finance.yahoo.com
Channel NewsAsia,http://channelnewsasia.com
ITNOW,http://itnow.oxfordjournals.org/
Christian County Headliner News,http://ccheadliner.com
Nairaland Forum,http://nairaland.com
The Shuttle,http://kidderminstershuttle.co.uk
Psychology Today,http://psychologytoday.com
STAT,http://statnews.com
Seattle Post-Intelligencer,http://seattlepi.com
"KCBS-AM (San Francisco, CA)",https://audacy.com/kcbsradio
Missoulian,http://missoulian.com/
FCW,http://fcw.com
Marin Independent Journal,http://marinij.com
PodiumRunner,http://podiumrunner.com
Journalism.co.uk,http://journalism.co.uk/
The Wire (India),http://thewire.in
Qatar Day,http://qatarday.com
Times Radio,https://thetimes.co.uk/radio
Epicurious,http://epicurious.com
Bookclub,http://www.bbc.co.uk/programmes/b006s5sf
Radio Times,http://radiotimes.com
MLex Market Insight,http://mlexmarketinsight.com
Time Magazine,http://time.com
Calgary Herald,http://calgaryherald.com/
The Local (Sweden),http://thelocal.se
The Local (France),https://www.thelocal.fr/
The Local (Switzerland),https://www.thelocal.ch/
The Local (Spain),http://thelocal.es
The Local (Italy),https://www.thelocal.it/
The Local (Austria),https://www.thelocal.at/
JSTOR Daily,https://daily.jstor.org/
Sports Illustrated,http://si.com/
The Times South Africa,http://timeslive.co.za/
SDE Kenya,http://sde.co.ke
Correio Braziliense,http://correiobraziliense.com.br
Dazed Magazine,http://dazeddigital.com
Women's Republic,http://womensrepublic.net
Upstream,http://upstreamonline.com
Forbes Advisor,https://forbes.com/advisor/
betanews,http://betanews.com
Autosport,http://autosport.com
"CICZ-FM (Midland, ON)",https://www.iheartradio.ca/bounce/simcoe-county
New Hampshire Public Radio,http://nhpr.org
"WAMC, Northeast Public Radio",http://wamc.org
Texas Public Radio (TPR),http://tpr.org
"WWNO-FM (New Orleans, LA)",http://wwno.org
"KRWG-TV (Las Cruces, NM)",http://krwg.org
Inc.,http://inc.com
Edinburgh Evening News,http://edinburghnews.scotsman.com/
Ayrshire Post,http://dailyrecord.co.uk/all-about/ayr
Family Law,http://familylaw.co.uk
The i Paper,http://inews.co.uk
Let's Talk Social Work,http://www.basw.co.uk
Decanter,http://decanter.com
Clash,http://clashmusic.com
Neurology,http://neurology.org
Just-Drinks,http://just-drinks.com
Just-Food,http://just-food.com
Imbibe,http://imbibe.com
Drinks Retailing News,http://drinksretailingnews.co.uk
Haymarket Media,http://haymarket.com
World Architecture News,http://worldarchitecturenews.com
ScienceAlert,http://sciencealert.com
"Mary Ann Liebert, Inc.",http://liebertpub.com
Science Magazine,http://science.org
Ancient Origins,http://ancient-origins.net
Times of Malta,http://timesofmalta.com
Gooner,http://onlinegooner.com
IQ Stock Market,http://iqstockmarket.com
Pittsburgh Post-Gazette,http://post-gazette.com/
Lawfare,http://lawfareblog.com
War on the Rocks,http://warontherocks.com
RealClear Defense,http://realcleardefense.com
Film Threat,http://filmthreat.com
West London Sport,http://westlondonsport.com
The Beesotted Brentford Pride of West London Podcast,http://beesotted.com
Bleacher Report,http://bleacherreport.com
Football Italia,http://football-italia.net
Redbrick,http://redbrick.me
Business Mondays,http://businessmondays.co.uk
Yahoo Movies Canada,https://ca.movies.yahoo.com
Yahoo Movies UK,https://uk.movies.yahoo.com/
"WCMY-AM (Ottawa, IL)",http://1430wcmy.com
"WJBD-FM (Salem, IL)",https://southernillinoisnow.com/
EQ International,http://eqmagpro.com
"KSOM-FM (Audubon, IA)",http://westerniowatoday.com
Swagger Magazine,http://swaggermagazine.com
Jewish Telegraphic Agency,http://jta.org/
The Forward,http://forward.com/
Microgrid Knowledge,http://microgridknowledge.com
The Chemical Engineer (tce),http://thechemicalengineer.com
Womanthology,http://womanthology.co.uk
Frontiers,http://frontiersin.org
Eagle-Tribune,http://eagletribune.com
The World Bank Research Observer,http://oxfordjournals.org
Bangor Daily News,http://bangordailynews.com
Asbury Park Press,http://app.com
"The Salem News (Salem, MA)",http://salemnews.com
Decatur Daily,http://decaturdaily.com
Gloucester Daily Times,http://gloucestertimes.com
The Daily News of Newburyport,http://newburyportnews.com
S&P Global,http://spglobal.com
S&P Global Platts,https://spglobal.com/platts/en
The Oklahoman,http://oklahoman.com
Platts Nucleonics Week,https://www.spglobal.com/platts/en/products-services/electric-power/nucleonics-week
PLATTS POWER IN EUROPE,https://www.spglobal.com/platts/en/products-services/electric-power/power-in-europe
Real Daily,http://realdaily.com
The Royal Army Medical Corps Journal,http://jramc.bmj.com
Veterinary Record,http://veterinaryrecord.bmj.com
Mother Earth News,http://motherearthnews.com
"The News-Gazette (Champaign, IL)",http://news-gazette.com/
InDaily,http://indaily.com.au
GolfWRX,http://golfwrx.com
Water & Wastes Digest,http://wwdmag.com
Call Centre Helper,http://callcentrehelper.com
